parameter,mean,std
main_deflector_parameters_theta_E,1.1032606861214105,0.14954370727880822
main_deflector_parameters_gamma1,-0.00014575107841238965,0.04884634473777026
main_deflector_parameters_gamma2,0.002795417125677408,0.04880512961814743
main_deflector_parameters_gamma,1.9980167579041768,0.10235596328500567
main_deflector_parameters_e1,0.005981349606707367,0.09887221077422205
main_deflector_parameters_e2,-0.0006585714851170544,0.09616730380438816
main_deflector_parameters_center_x,-0.005178441532656519,0.1627254300428986
main_deflector_parameters_center_y,0.0016035093791598926,0.1517168901232218
