parameter,mean,std
main_deflector_parameters_theta_E,1.1086831463012425,0.14487574236984252
main_deflector_parameters_gamma1,0.004356978203894332,0.051206552064821394
main_deflector_parameters_gamma2,0.0030903543736309365,0.04719760530508355
main_deflector_parameters_gamma,1.9913026829896754,0.09998067289189574
main_deflector_parameters_e1,-0.0021786448369363965,0.09624034712985392
main_deflector_parameters_e2,0.00019734359130893823,0.0911841267331575
main_deflector_parameters_center_x,0.016662395048352367,0.16049128818663122
main_deflector_parameters_center_y,-0.011565389166260041,0.1497303010238353
subhalo_parameters_sigma_sub,0.002131716724458084,0.0010981525008296582
